League,player,Shots,OnTarget,value,nationality,position,squad,goals,goals_per_shot,passes_completed,assisted_shots,passes_blocked,touches,height,assists,games_starts,minutes
Bundesliga,Robert Lewandowski,35,17,56000000,pl POL,FW,Bayern Munich,34,0.22,592,37,40,1203,185,4,31,2759
France Ligue 18,Ludovic Blas,19,7,8000000,fr FRA,"FW,MF",Nantes,5,0.11,540,24,23,978,180,1,22,1845
France Ligue 12,Stephane Bahoken,30,14,4000000,cm CMR,FW,Angers,4,0.15,150,10,6,341,185,0,10,907
France Ligue 10,Kevin Volland,12,11,28000000,de GER,FW,Leverkusen,10,0.13,429,34,36,881,179,7,24,2047
France Ligue 3,Andy Delort,31,14,10000000,dz ALG,FW,Montpellier,9,0.11,451,36,46,1117,182,3,26,2280
France Ligue 5,Ibrahima Niane,21,9,3000000,sn SEN,FW,Metz,3,0.07,204,9,9,468,187,0,9,951
France Ligue 2,Boulaye Dia,25,12,4000000,sn SEN,FW,Reims,7,0.15,251,23,12,579,180,1,21,1812
France Ligue 20,Moise Kean,14,5,25000000,it ITA,FW,Everton,2,0.07,104,8,11,275,183,2,6,852
Ligue 1,Ignatius Ganago,14,7,3000000,cm CMR,"FW,MF",Nice,3,0.18,283,11,16,521,179,1,12,1239
Ligue 1,Irvin Cardona,21,8,4000000,fr FRA,"FW,MF",Brest,6,0.12,290,17,19,666,185,3,15,1450
Ligue 1,Florian Thauvin,21,8,32000000,fr FRA,FW,Marseille,0,0.0,12,0,0,22,179,0,0,22
Ligue 1,Amine Gouiri,26,10,4000000,fr FRA,FW,Lyon,0,0.0,0,0,0,0,180,0,0,1
Ligue 1,Jonathan Bamba,25,9,16000000,fr FRA,"FW,MF",Lille,1,0.0,669,35,29,1110,175,4,22,1937
Ligue 1,Ludovic Ajorque,17,8,6000000,re REU,FW,Strasbourg,8,0.16,371,14,12,755,197,4,24,2058
Ligue 1,Memphis Depay,30,10,44000000,nl NED,"FW,MF",Lyon,9,0.17,368,22,13,640,176,2,12,1018
Ligue 1,Gael Kakuta,18,6,2000000,cd COD,"MF,FW",Amiens,2,0.05,592,28,46,1211,173,5,23,2001
Ligue 1,James Ward-Prowse,10,7,14000000,eng ENG,"MF,DF",Southampton,5,0.07,1458,61,41,2399,177,3,38,3420
Ligue 1,Bruno Fernandes,30,14,48000000,pt POR,MF,Manchester Utd,8,0.1,608,34,39,1000,179,7,14,1186
Ligue 1,Dominic Calvert-Lewin,32,18,24000000,eng ENG,FW,Everton,13,0.16,393,15,25,973,187,1,30,2626
Ligue 1,Timo Werner,23,10,64000000,de GER,FW,RB Leipzig,28,0.21,764,53,65,1455,181,8,33,2795
Ligue 1,Callum Wilson,18,8,24000000,eng ENG,FW,Bournemouth,8,0.15,345,25,47,881,180,1,32,2908
Ligue 1,Diogo Jota,20,11,40000000,pt POR,"FW,MF",Wolves,7,0.1,681,32,47,1248,178,1,27,2284
Ligue 1,Wilfried Zaha,18,7,44000000,ci CIV,"MF,FW",Crystal Palace,4,0.07,935,36,72,1859,180,3,37,3280
Premier League,Jack Grealish,26,9,30000000,eng ENG,"FW,MF",Aston Villa,8,0.11,1217,92,50,2029,180,6,36,3233
Premier League,Jarrod Bowen,22,5,16000000,eng ENG,FW,West Ham,1,0.04,188,14,16,421,175,4,11,917
Premier League,Mohamed Salah,35,15,120000000,eg EGY,FW,Liverpool,19,0.12,746,54,47,1405,175,10,33,2876
Premier League,Jamie Vardy,21,15,16000000,eng ENG,FW,Leicester City,23,0.22,314,28,28,734,179,5,34,3033
Premier League,Harry Kane,39,15,120000000,eng ENG,FW,Tottenham,18,0.21,394,24,33,923,188,2,29,2587
Premier League,Neal Maupay,25,11,17000000,fr FRA,FW,Brighton,10,0.1,540,26,33,1063,173,3,30,2766
Premier League,Sadio Mane,27,13,120000000,sn SEN,FW,Liverpool,18,0.24,933,56,50,1590,174,7,31,2747
Premier League,Riyad Mahrez,21,10,48000000,dz ALG,FW,Manchester City,11,0.14,1009,58,27,1476,179,9,21,1944
